occ,label
25000,Cuba
26000,West Indies
26010,Dominican Republic
26020,Haiti
26030,Jamaica
26040,British West Indies
26041,Anguilla
26042,Antigua-Barbuda
26043,Bahamas
26044,Barbados
26045,British Virgin Islands
26046,Anegada
26047,Cooper
26048,Jost Van Dyke
26049,Peter
26050,Tortola
26051,Virgin Gorda
26052,"British Virgin Islands, n.s./ n.e.c."
26053,Cayman Isles
26054,Dominica
26055,Grenada
26056,Montserrat
26057,St. Kitts-Nevis
26058,St. Lucia
26059,St. Vincent
26059,St. Vincent and the Grenadines
26060,Trinidad and Tobago
26061,Turks and Caicos
26069,"British West Indies, n.s./ n.e.c."
26070,Other West Indies
26071,Aruba
26072,Netherlands Antilles
26073,Bonaire
26074,Curacao
26075,Dutch St. Maarten
26076,Saba
26077,St. Eustatius
26079,"Dutch Caribbean, n.s./ n.e.c."
26080,French St. Maarten
26081,Guadeloupe
26082,Martinique
26083,St. Barthelemy
26089,"French Caribbean, n.s."
26090,"Antilles, n.s."
26091,"Caribbean, n.s. / n.e.c."
26092,"Latin America, n.s."
26092,St. Vincent
26093,"Leeward Islands, n.s."
26094,"West Indies, n.s."
26095,"Windward Islands, n.s."
29999,"Americas, n.s."
30000,SOUTH AMERICA
30005,Argentina
30010,Bolivia
30015,Brazil
30020,Chile
30025,Colombia
30030,Ecuador
30035,French Guiana
30040,Guyana/British Guiana
30045,Paraguay
30050,Peru
30055,Suriname
30060,Uruguay
30065,Venezuela
30090,"South America, n.s."
30091,"South and Central America, n.s."
40000,Denmark
40010,Faroe Islands
40100,Finland
40200,Iceland
40300,"Lapland, n.s."
40400,Norway
40410,Svalbard and Jan Meyen
40411,Svalbard
40412,Jan Meyen
40500,Sweden
41000,England
41010,Channel Islands
41011,Guernsey
41012,Jersey
41020,Isle of Man
41100,Scotland
41200,Wales
41300,"United Kingdom, n.s./ n.e.c."
41400,Ireland
41410,Northern Ireland
41900,"Northern Europe, n.s."
42000,Belgium
42100,France
42110,Alsace-Lorraine
42111,Alsace
42112,Lorraine
42200,Liechtenstein
42300,Luxembourg
42400,Monaco
42500,Netherlands
42600,Switzerland
42900,"Western Europe, n.s."
43000,Albania
43100,Andorra
43200,Gibraltar
43300,Greece
43310,Dodecanese Islands
43320,Turkey Greece
43330,Macedonia
43400,Italy
43500,Malta
43600,Portugal
43610,Azores
43620,Madeira Islands
43630,Cape Verde Islands
43640,St. Miguel
43700,San Marino
43800,Spain
43900,Vatican City
44000,"Southern Europe, n.s."
45000,Austria
45010,Austria-Hungary
45020,Austria-Graz
45030,Austria-Linz
45040,Austria-Salzburg
45050,Austria-Tyrol
45060,Austria-Vienna
45070,Austria-Kaernten
45080,Austria-Neustadt
45100,Bulgaria
45200,Czechoslovakia
45210,Bohemia
45211,Bohemia-Moravia
45212,Slovakia
45213,Czech Republic
45300,Germany
45301,Berlin
45302,West Berlin
45303,East Berlin
45310,"West Germany, n.e.c."
45311,Baden
45312,Bavaria
45313,Braunshweig
45314,Bremen
45315,Hamburg
45316,Hanover
45317,Hessen
45318,Hesse-Nassau
45319,Lippe
45320,Lubeck
45321,Oldenburg
45322,Rhineland
45323,Schaumburg-Lippe
45324,Schleswig
45325,Sigmaringen
45327,Westphalia
45328,Wurttemberg
45329,Waldecker
45330,Wittenberg
45331,Frankfurt
45340,"East Germany, n.e.c."
45341,Anhalt
45342,Brandenburg
45344,Kingdom of Saxony
45345,Mecklinburg
45346,Saxony
45347,Thuringian States
45350,Probable Saxony
45353,Probably Thuringian States
45360,"Prussia, n.e.c."
45400,Hungary
45500,Poland
45510,Austrian Poland
45511,Galicia
45520,German Poland
45521,East Prussia
45522,Pomerania
45523,Posen
45524,Prussian Poland
45525,Silesia
45526,West Prussia
45530,Russian Poland
45600,Romania
45610,Transylvania
45700,Yugoslavia
45710,Croatia
45720,Montenegro
45730,Serbia
45740,Bosnia
45740,Bosnia and Herzegovinia (ACS)
45750,Dalmatia
45760,Slovonia
45770,Carniola
45780,Slovenia
45790,Kosovo
45800,"Central Europe, n.s."
45900,"Eastern Europe, n.s."
46000,Estonia
46100,Latvia
46200,Lithuania
46300,"Baltic States, n.s."
46500,"Other USSR/""Russia"""
46510,Byelorussia
46520,Moldavia
46521,Bessarabia
46530,Ukraine
46540,Armenia
46541,Azerbaijan
46542,Republic of Georgia
46543,Kazakhstan
46544,Kirghizia
46545,Tadzhik
46546,Turkmenistan
46547,Uzbekistan
46548,Siberia
46590,"USSR, n.s./n.e.c."
49900,"Europe, n.s."
49900,
49900,
50000,China
50010,Hong Kong
50020,Macau
50030,Mongolia
50040,Taiwan
50100,Japan
50200,Korea
50210,North Korea
50220,South Korea
50900,"East Asia, n.s."
51000,Brunei
51100,Cambodia (Kampuchea)
51200,Indonesia
51210,East Indies
51220,East Timor
51300,Laos
51400,Malaysia
51500,Philippines
51600,Singapore
51700,Thailand
51800,Vietnam
51900,"Southeast Asia, n.s."
51910,"Indochina, n.s."
52000,Afghanistan
52100,India
52110,Bangladesh
52120,Bhutan
52130,Burma (Myanmar)
52140,Pakistan
52150,Sri Lanka (Ceylon)
52200,Iran
52300,Maldives
52400,Nepal
53000,Bahrain
53100,Cyprus
53200,Iraq
53210,Mesopotamia
53300,Iraq/Saudi Arabia
53400,Israel/Palestine
53400,Israel
53410,Gaza Strip
53420,Palestine
53430,West Bank
53440,Israel
53500,Jordan
53600,Kuwait
53700,Lebanon
53800,Oman
53900,Qatar
54000,Saudi Arabia
54100,Syria
54200,Turkey
54210,European Turkey
54220,Asian Turkey
54300,United Arab Emirates
54400,Yemen Arab Republic (North)
54500,"Yemen, PDR (South)"
54600,"Persian Gulf States, n.s."
54700,"Middle East, n.s."
54800,"Southwest Asia, n.e.c./n.s."
54900,"Asia Minor, n.s."
55000,"South Asia, n.e.c."
59900,"Asia, n.e.c./n.s."
59900,
59900,
59900,(Paracel Islands--no population)
59900,(Spratley Islands--no population)
60000,AFRICA
60010,Northern Africa
60011,Algeria
60012,Egypt/United Arab Rep.
60013,Libya
60014,Morocco
60015,Sudan
60016,Tunisia
60017,Western Sahara
60019,"North Africa, n.s."
60020,Benin
60021,Burkina Faso
60022,Gambia
60023,Ghana
60024,Guinea
60025,Guinea-Bissau
60026,Ivory Coast
60027,Liberia
60028,Mali
60029,Mauritania
60030,Niger
60031,Nigeria
60032,Senegal
60033,Sierra Leone
60034,Togo
60038,"Western Africa, n.s."
60039,"French West Africa, n.s."
60040,British Indian Ocean Territory
60041,Burundi
60042,Comoros
60043,Djibouti
60044,Ethiopia
60045,Kenya
60046,Madagascar
60047,Malawi
60048,Mauritius
60049,Mozambique
60050,Reunion
60051,Rwanda
60052,Seychelles
60053,Somalia
60054,Tanzania
60055,Uganda
60056,Zambia
60057,Zimbabwe
60058,Bassas da India
60059,Europa
60060,Gloriosos
60061,Juan de Nova
60062,Mayotte
60063,Tromelin
60064,"Eastern Africa, n.e.c./n.s."
60065,Eritrea
60070,Central Africa:
60071,Angola
60072,Cameroon
60073,Central African Republic
60074,Chad
60075,Congo
60076,Equatorial Guinea
60077,Gabon
60078,Sao Tome and Principe
60079,Zaire
60080,"Central Africa, n.s."
60081,"Equatorial Africa, n.s."
60082,"French Equatorial Africa, n.s."
60090,Southern Africa:
60091,Botswana
60092,Lesotho
60093,Namibia
60094,South Africa (Union of)
60095,Swaziland
60096,"Southern Africa, n.s."
60099,"Africa, n.s./n.e.c."
60099,"Africa, n.s./n.e.c."
70000,Australia and New Zealand
70010,Australia
70011,Ashmore and Cartier Islands
70012,Coral Sea Islands Territory
70020,New Zealand
71000,Pacific Islands
71010,New Caledonia
71011,Norfolk Islands
71012,Papua New Guinea
71013,Solomon Islands
71014,Vanuatu (New Hebrides)
71019,"Melanesia, n.s."
71020,Cook Islands
71021,Fiji
71022,French Polynesia
71023,Tonga
71024,Wallis and Futuna Islands
71025,Western Samoa
71029,"Polynesia, n.s."
71030,Christmas Island
71031,Cocos Islands
71032,Kiribati
71033,Canton and Enderbury
71034,Nauru
71035,Niue
71036,Pitcairn Island
71037,Tokelau
71038,Tuvalu
71039,"Micronesia, n.s."
71040,US Pacific Trust Territories:
71041,Marshall Islands
71042,Micronesia
71043,Kosrae
71044,Pohnpei
71045,Truk
71046,Yap
71047,Northern Mariana Islands
71048,Palau
71049,"Pacific Trust Territories, n.s."
71050,Clipperton Island
71090,"Oceania, n.s./n.e.c."
80000,"ANTARTICA, n.s./n.e.c."
80010,Bouvet Islands
80020,British Antarctic Terr.
80030,Dronning Maud Land
80040,French Southern and Antartic Lands
80050,Heard and McDonald Islands
90000,ABROAD (unknown) or at sea
90010,"Abroad, n.s."
90011,Abroad (US citizen)
90020,At sea
90021,At sea (US citizen)
90022,At sea or abroad (U.S. citizen)
95000,"OTHER, n.e.c."
99700,Unknown
99700,
99700,Unknown value
99700,
99700,
99800,Illegible
99900,Missing/blank
99999,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
